id_device;date;en_L1;cons_en_L1;en_L2;cons_en_L2;en_L3;cons_en_L3
246;24/03/2021;40657800.05980015;61981;16798445.976124763;27098;58152149.77506256;84453
246;25/03/2021;40676199.05980015;15845;16807018.476124763;7398.75;58178693.77506256;22836
253;04/07/2019;109053.71875;109053.71875;82024.078125;82024.078125;78486.390625;78486.390625
253;05/07/2019;310215.5625;192293.6875;236732.296875;147950.4609375;239159.203125;153914.0546875
253;06/07/2019;493856.65625;176176.21875;392396.21875;149134.859375;390681.59375;145375.640625
253;07/07/2019;679568.25;178160.65625;548765.4375;150225.75;543512.9375;146480.15625
253;08/07/2019;866156.375;178646;705646.875;149958.75;697240.5625;146915.5
253;09/07/2019;1061466.125;186713.4375;864002.1875;151552.4375;849987.25;146291.3125
253;10/07/2019;1240099.75;170651.375;1019155.4375;148552.0625;999484.4375;143156.9375
253;11/07/2019;1412767.25;164765.875;1170915.25;145398.625;1146026;140455
253;12/07/2019;1579820.5550384521;159939.93003845215;1315900.088470459;139071.71347045898;1285313.3842010498;133255.5092010498
253;13/07/2019;1756858.9821548462;169319.52867889404;1467400.5959701538;145084.78093719482;1430994.7002792358;139061.00357818604
253;14/07/2019;1936514.4899673462;172011.984375;1620865.1194076538;147080.53125;1579056.8096542358;141978.453125
253;15/07/2019;2114824.333717346;170375.625;1772231.3225326538;145088.453125;1724245.1065292358;139424.96875
253;16/07/2019;2284208.114967346;161392.09375;1919190.1037826538;140647.25;1865858.3565292358;135320.90625
253;17/07/2019;2452506.677467346;161093.0625;2066787.8537826538;141204.8125;2008697.6690292358;136539.59375
253;18/07/2019;2622981.364967346;163239;2215906.603782654;142651.375;2152542.856529236;137764.125
253;19/07/2019;2793527.177467346;163143.125;2364603.416282654;142682;2296628.356529236;138114.25
253;20/07/2019;2968989.052467346;167514.25;2516631.478782654;145654.9375;2443819.169029236;140856.375
253;21/07/2019;3145547.052467346;168834.25;2670164.478782654;147337.25;2592248.419029236;142293.375
253;22/07/2019;3320632.052467346;167277.625;2822686.478782654;146312.5;2739971.044029236;141532.25
253;23/07/2019;3493397.802467346;165503.25;2973534.603782654;144679.625;2886148.169029236;140404.125
253;24/07/2019;3671859.927467346;170862.5;3126876.478782654;146699.75;3034314.919029236;141631.125
253;25/07/2019;3852237.302467346;172964.625;3282189.353782654;148999.25;3184432.544029236;143899.875
253;26/07/2019;4040258.552467346;180129.75;3441439.478782654;152889.875;3338528.919029236;148055.625
253;27/07/2019;4223577.302467346;175009.25;3599396.978782654;151100.75;3491386.919029236;146573.125
253;28/07/2019;4400688.802467346;169393.75;3752139.228782654;146536.75;3639509.169029236;141947
253;29/07/2019;4575041.552467346;167018.25;3903526.978782654;145089.5;3785654.919029236;139998.75
253;30/07/2019;4749297.552467346;167083;4053137.228782654;143360.25;3929960.919029236;138201
253;31/07/2019;4926441.302467346;169468.75;4205064.728782654;146010.25;4077446.169029236;141727.75
253;01/08/2019;5112755.302467346;178534.25;4361772.728782654;150096;4229706.919029236;146184.25
253;02/08/2019;5311533.302467346;191018;4522448.228782654;154515.25;4387179.169029236;151230.5
253;03/08/2019;5504820.552467346;184560;4683774.978782654;154326;4544974.169029236;150984.25
253;04/08/2019;5687979.052467346;175306.75;4838255.478782654;147716.5;4699666.669029236;148097.75
253;05/08/2019;5868537.302467346;173022;4989322.228782654;144511;4853474.919029236;147315
253;06/08/2019;6056080.802467346;179715.5;5134053.228782654;138376.75;5010798.169029236;151063.75
253;07/08/2019;6257501.802467346;192792;5291375.728782654;152040.25;5160902.669029236;143378.5
253;08/08/2019;6461102.802467346;194904.5;5482704.978782654;183442.75;5286891.669029236;120958.75
253;09/08/2019;6645327.302467346;176188;5668468.478782654;178261.25;5409554.169029236;117706.75
253;10/08/2019;6827881.302467346;174897;5851488.978782654;175412.5;5529483.419029236;115163.5
253;11/08/2019;7009805.302467346;174435;6034040.478782654;174832.5;5648814.669029236;114275.25
253;12/08/2019;7191558.302467346;173891;6216924.978782654;175220;5769122.669029236;114901.5
253;13/08/2019;7373546.302467346;174538.5;6397029.478782654;172459.5;5886259.669029236;112121
253;14/08/2019;7549661.302467346;168178.5;6575294.478782654;170897.5;6002480.669029236;111416
253;15/08/2019;7723685.302467346;166772.5;6752152.978782654;169764;6117674.669029236;110690.5
253;16/08/2019;7898527.802467346;167498;6932686.478782654;173156;6235465.169029236;112996.5
253;17/08/2019;8072964.802467346;167039.5;7116650.978782654;176339.5;6354942.669029236;114436.5
253;18/08/2019;8255213.302467346;174764;7303320.978782654;178957.5;6476669.669029236;116377.5
253;19/08/2019;8439411.302467346;176357.5;7490588.478782654;179148.5;6599340.169029236;117274.5
253;20/08/2019;8622623.802467346;175126;7676575.978782654;177736.5;6722097.169029236;117321
253;21/08/2019;8792596.302467346;162089;7844956.478782654;160904.5;6837631.169029236;110646.5
253;22/08/2019;8970556.802467346;170032.5;8024378.978782654;171806.5;6960106.169029236;117330
253;23/08/2019;9152658.302467346;174389.5;8206042.978782654;174501.5;7081946.169029236;116949
253;24/08/2019;9330559.802467346;170155.5;8385358.478782654;171963.5;7204715.169029236;117650.5
253;25/08/2019;9506003.302467346;167685;8564586.478782654;172097;7328968.169029236;119209
253;26/08/2019;9688912.302467346;175633;8746520.978782654;174869.5;7455345.169029236;121739.5
253;27/08/2019;9874584.302467346;177635;8927296.978782654;173054;7585416.169029236;124556.5
253;28/08/2019;10054817.302467346;172263;9104295.478782654;169083.5;7715484.169029236;124085
253;29/08/2019;10224643.802467346;162452;9273585.478782654;162087.5;7841155.169029236;120454.5
253;30/08/2019;10395799.802467346;163402;9443676.978782654;162719;7967691.669029236;121174.5
253;31/08/2019;10565697.802467346;162640;9613062.978782654;162582;8093200.169029236;120686.5
253;01/09/2019;10732360.802467346;159287;9781218.478782654;161599.5;8220230.669029236;121978
253;02/09/2019;10899243.802467346;159627;9948906.978782654;161050;8346390.169029236;121322.5
253;03/09/2019;11069035.802467346;162249;10116393.978782654;160615;8473061.669029236;121561.5
253;04/09/2019;11242405.802467346;165803;10284483.978782654;161036;8601829.169029236;123113.5
253;05/09/2019;11415259.802467346;165167;10453362.978782654;161721;8732283.669029236;124563.5
253;06/09/2019;11586585.802467346;163625;10621470.978782654;160810;8863054.669029236;125269.5
253;07/09/2019;11755870.802467346;161647;10788761.978782654;160396;8994177.169029236;125890
253;08/09/2019;11924331.802467346;161286;10955512.978782654;160309;9125355.669029236;126223.5
253;09/09/2019;12091148.802467346;159654;11121096.978782654;158911;9254064.669029236;123746
253;10/09/2019;12255640.802467346;157166;11286192.978782654;158313;9379686.169029236;120298
253;11/09/2019;12421625.802467346;158936;11454205.978782654;160782;9504866.669029236;119696.5
253;12/09/2019;12595626.969398499;166271.16693115234;11625920.779624939;164970.80084228516;9635695.092178345;125865.42314910889
253;13/09/2019;12766977.695014954;164105.20999145508;11791880.294303894;158778.28421020508;9762133.204216003;121114.68235015869
253;14/09/2019;12940905.612983704;166373.25;11961571.677116394;162529.0703125;9894497.868278503;127044.38671875
253;15/09/2019;13115389.644233704;166716.6875;12131868.677116394;163306.3125;10028045.946403503;128050.765625
253;16/09/2019;13297655.269233704;173995.3125;12291173.052116394;152065.75;10178457.258903503;145033.09375
253;17/09/2019;13481272.081733704;175833.125;12437569.802116394;140717.875;10342500.321403503;157632.1875
253;18/09/2019;13664620.519233704;175746.3125;12584811.427116394;141450.5;10506815.071403503;157762.5
253;19/09/2019;13854647.019233704;182277.375;12733239.927116394;142210.75;10672312.071403503;158630.375
253;20/09/2019;14031802.519233704;169569;12876785.302116394;137446.5;10833594.383903503;154348.125
253;21/09/2019;14211397.519233704;172153.375;13020915.677116394;137819.875;10995395.758903503;154606.625
253;22/09/2019;14383934.644233704;165011.875;13162424.427116394;135272.25;11154941.258903503;152355.75
253;23/09/2019;14561568.269233704;170110.25;13303657.302116394;135026.25;11316202.508903503;154362.25
253;24/09/2019;14735682.019233704;166172.375;13443881.427116394;134579.125;11475951.883903503;153210.125
253;25/09/2019;14907287.894233704;164316.125;13583353.927116394;133918.625;11634364.383903503;152099
253;26/09/2019;15078289.894233704;163634.5;13721358.052116394;132591.125;11791851.758903503;151163.125
253;27/09/2019;15246910.644233704;161597.25;13857601.302116394;130924.875;11948532.508903503;150533.625
253;28/09/2019;15417276.894233704;163125.25;13996389.302116394;133423;12106771.508903503;152001.5
253;29/09/2019;15587576.144233704;163073.5;14135013.802116394;132925.5;12264503.258903503;151307.75
253;30/09/2019;15759737.644233704;164962.25;14273442.802116394;132642.75;12422805.258903503;151872
253;01/10/2019;15932504.144233704;165066.25;14414528.552116394;134964;12581154.258903503;151408.5
253;02/10/2019;16105297.144233704;165131.25;14555806.052116394;134774.5;12739659.008903503;151273.5
253;03/10/2019;16273323.144233704;160372.75;14690707.802116394;128841;12892531.758903503;145876.25
