id_device;date;en_L1;cons_en_L1;en_L2;cons_en_L2;en_L3;cons_en_L3
246;01/03/2020;14618024.176532745;1432191.0390625;7117877.2759552;921353.42578125;22392096.780838013;2450781.296875
246;01/04/2020;16195596.508042336;1575384.5815095901;7978105.5913591385;858911.9404039383;24848759.95475006;2452928.9239120483
246;01/05/2020;18286465.820542336;2088916.5625;8813485.185109138;834074.8125;27689024.14225006;2836874.625
246;01/06/2020;20702608.070542336;2414298.25;9577772.310109138;762931;30733973.14225006;3041460.75
246;01/07/2020;23508474.383042336;2801728.3125;10372543.013234138;793738.328125;34197102.26725006;3458150.125
246;01/08/2020;26589056.258042336;3076275.9375;11312176.497609138;938129.921875;38049776.14225006;3847257.25
246;01/09/2020;29127789.258042336;2535370.5;12042788.747609138;729730.25;41397696.64225006;3342686.5
246;01/10/2020;31362033.257065773;2231146.9990234375;12800075.993702888;756257.87109375;44403717.05631256;3001788.4140625
246;01/11/2020;33398167.184800148;2033438.59375;13572158.976124763;770956.3525390625;47281733.52506256;2874177.16015625
246;01/12/2020;35262551.55980015;1861835.875;14443942.726124763;870579.75;50366194.77506256;3080398.75
246;01/01/2021;37192656.55980015;1927683;15339206.226124763;894039;53352919.77506256;2980777.5
246;01/02/2021;39080308.05980015;1885044;16121506.476124763;781154.25;55935544.77506256;2577790
246;01/03/2021;40676199.05980015;1593164.5;16807018.476124763;684383.5;58178693.77506256;2238476
253;01/07/2019;4926441.302467346;4926441.302467346;4205064.728782654;4205064.728782654;4077446.169029236;4077446.169029236
253;01/08/2019;10565697.802467346;5631476.75;9613062.978782654;5401386.25;8093200.169029236;4009677.5
253;01/09/2019;15759737.644233704;5186663.841766357;14273442.802116394;4653823.82333374;12422805.258903503;4324552.589874268
253;01/10/2019;20710292.805480957;4942854.911247253;19241726.84439087;4962162.292274475;16220408.268722534;3790662.5098190308
253;01/11/2019;25195972.897277832;4478827.341796875;24071275.68382263;4822851.839431763;19631796.616500854;3406307.3477783203
253;01/12/2019;29596233.116378784;4393010.969100952;28916135.404266357;4838255.970443726;22947552.72265625;3311140.3561553955
253;01/01/2020;33834270.217292786;4233250.413414001;33818810.54659271;4896348.454826355;26254905.458969116;3303007.611312866
253;01/02/2020;37958465.45524597;4117716.237953186;38415166.443222046;4589435.8966293335;29392051.919799805;3132182.0858306885
253;01/03/2020;42390846.45524597;4426261.125;43496786.693222046;5074643.25;32870283.107299805;3473500.9375
253;01/04/2020;46842711.10671234;4444969.15146637;48619623.33898163;5115527.1457595825;36433296.234046936;3558078.6267471313
253;01/05/2020;51530889.85671234;4682084.5;53957867.08898163;5331024.5;40267001.734046936;3828808.5
253;01/06/2020;56445951.548820496;4908539.692108154;59306651.07762146;5341260.988639832;44256528.657188416;3984147.9231414795
253;01/07/2020;62781342.673820496;6327515.375;65038161.45262146;5722743.875;49059226.579063416;4796286.171875
253;01/08/2020;65522765.720695496;2731855.453125;66942003.37449646;1897623.0625;51075653.922813416;2009682.40625
253;01/09/2020;69558406.61620331;4035640.8955078125;69909314.12059021;2967310.74609375;53862439.590782166;2786785.66796875
253;01/10/2020;75361382.61620331;5793996.71875;74250402.24559021;4334271.7890625;57776748.004844666;3908290.71875
253;01/11/2020;80997393.61620331;5628186;78563179.74559021;4306496;61580253.004844666;3797720.5
253;01/12/2020;86708006.61620331;5702338;83047880.74559021;4478443;65492648.504844666;3906939.5
253;01/01/2021;91322685.94432831;4608649.328125;87336243.62059021;4282650.875;69242641.61421967;3744903.109375
253;01/02/2021;95499203.52245331;4170165.15625;91320540.49559021;3978422.546875;72703074.62984467;3455580.640625
253;01/03/2021;99088081.77245331;3582795.5;94709076.49559021;3382747.5;75677401.75484467;2969157.625
