,num_device,date,en_L1,cons_en_L1,en_L2,cons_en_L2,en_L3,cons_en_L3,hour,day,month,year,cons_glbal
5043,34,2020-12-02 04:00:00,4847246.511268616,675.5625,13014013.63684845,2542.84375,1166080.0720062256,0.0,4,Wednesday,12,2020,3218.40625
5044,34,2020-12-02 05:00:00,4847941.605018616,695.09375,13016361.79309845,2348.15625,1166080.0720062256,0.0,5,Wednesday,12,2020,3043.25
5045,34,2020-12-02 06:00:00,4848615.589393616,673.984375,13018753.19934845,2391.40625,1166208.469467163,128.3974609375,6,Wednesday,12,2020,3193.7880859375
5046,34,2020-12-02 07:00:00,4849438.667518616,823.078125,13021389.66809845,2636.46875,1166208.469467163,0.0,7,Wednesday,12,2020,3459.546875
5047,34,2020-12-02 08:00:00,4850227.855018616,789.1875,13023819.32434845,2429.65625,1166352.0798187256,143.6103515625,8,Wednesday,12,2020,3362.4541015625
5048,34,2020-12-02 09:00:00,4851069.667518616,841.8125,13026241.73059845,2422.40625,1166481.1891937256,129.109375,9,Wednesday,12,2020,3393.328125
5049,34,2020-12-02 10:00:00,4851884.526893616,814.859375,13028804.88684845,2563.15625,1166490.9118499756,9.72265625,10,Wednesday,12,2020,3387.73828125
5050,34,2020-12-02 11:00:00,4852551.136268616,666.609375,13031235.73059845,2430.84375,1166615.188217163,124.2763671875,11,Wednesday,12,2020,3221.7294921875
5051,34,2020-12-02 12:00:00,4853237.355018616,686.21875,13033725.82434845,2490.09375,1166615.188217163,0.0,12,Wednesday,12,2020,3176.3125
5052,34,2020-12-02 13:00:00,4853908.823768616,671.46875,13036337.98059845,2612.15625,1166615.188217163,0.0,13,Wednesday,12,2020,3283.625
5053,34,2020-12-02 14:00:00,4854595.964393616,687.140625,13038666.85559845,2328.875,1166759.461654663,144.2734375,14,Wednesday,12,2020,3160.2890625
5054,34,2020-12-02 15:00:00,4855283.026893616,687.0625,13041012.38684845,2345.53125,1166759.461654663,0.0,15,Wednesday,12,2020,3032.59375
5055,34,2020-12-02 16:00:00,4855941.089393616,658.0625,13043484.29309845,2471.90625,1166759.461654663,0.0,16,Wednesday,12,2020,3129.96875
5056,34,2020-12-02 17:00:00,4856618.605018616,677.515625,13046091.35559845,2607.0625,1166759.461654663,0.0,17,Wednesday,12,2020,3284.578125
5057,34,2020-12-02 18:00:00,4857324.073768616,705.46875,13048516.16809845,2424.8125,1166759.461654663,0.0,18,Wednesday,12,2020,3130.28125
5058,34,2020-12-02 19:00:00,4857999.136268616,675.0625,13051164.04309845,2647.875,1166895.572982788,136.111328125,19,Wednesday,12,2020,3459.048828125
5059,34,2020-12-02 20:00:00,4858799.995643616,800.859375,13053733.41809845,2569.375,1166895.572982788,0.0,20,Wednesday,12,2020,3370.234375
5060,34,2020-12-02 21:00:00,4859475.636268616,675.640625,13056103.54309845,2370.125,1166895.572982788,0.0,21,Wednesday,12,2020,3045.765625
5061,34,2020-12-02 22:00:00,4860153.933143616,678.296875,13058588.54309845,2485.0,1166895.572982788,0.0,22,Wednesday,12,2020,3163.296875
5062,34,2020-12-02 23:00:00,4860861.823768616,707.890625,13061097.38684845,2508.84375,1166895.572982788,0.0,23,Wednesday,12,2020,3216.734375
5063,34,2020-02-13 00:00:00,4861539.776893616,677.953125,13063519.94934845,2422.5625,1166895.572982788,0.0,0,Thursday,2,2020,3100.515625
5064,34,2020-02-13 01:00:00,4862212.730018616,672.953125,13065763.26184845,2243.3125,1167031.961654663,136.388671875,1,Thursday,2,2020,3052.654296875
5065,34,2020-02-13 02:00:00,4862883.964393616,671.234375,13068280.51184845,2517.25,1167031.961654663,0.0,2,Thursday,2,2020,3188.484375
5066,34,2020-02-13 03:00:00,4863558.073768616,674.109375,13070700.07434845,2419.5625,1167031.961654663,0.0,3,Thursday,2,2020,3093.671875
5067,34,2020-02-13 04:00:00,4864232.980018616,674.90625,13073054.04309845,2353.96875,1167031.961654663,0.0,4,Thursday,2,2020,3028.875
5068,34,2020-02-13 05:00:00,4864938.495643616,705.515625,13075464.44934845,2410.40625,1167031.961654663,0.0,5,Thursday,2,2020,3115.921875
5069,34,2020-02-13 06:00:00,4865750.464393616,811.96875,13077862.10559845,2397.65625,1167167.7204437256,135.7587890625,6,Thursday,2,2020,3345.3837890625
5070,34,2020-02-13 07:00:00,4866302.745643616,552.28125,13080373.60559845,2511.5,1167167.7204437256,0.0,7,Thursday,2,2020,3063.78125
5071,34,2020-02-13 08:00:00,4866972.198768616,669.453125,13082713.16809845,2339.5625,1167167.7204437256,0.0,8,Thursday,2,2020,3009.015625
5072,34,2020-02-13 09:00:00,4867786.808143616,814.609375,13085267.60559845,2554.4375,1167167.7204437256,0.0,9,Thursday,2,2020,3369.046875
5073,34,2020-02-13 10:00:00,4868320.355018616,533.546875,13087593.23059845,2325.625,1167167.7204437256,0.0,10,Thursday,2,2020,2859.171875
5074,34,2020-02-13 11:00:00,4869152.605018616,832.25,13090038.66809845,2445.4375,1167289.391342163,121.6708984375,11,Thursday,2,2020,3399.3583984375
5075,34,2020-02-13 12:00:00,4869945.683143616,793.078125,13092775.35559845,2736.6875,1167423.6755218506,134.2841796875,12,Thursday,2,2020,3664.0498046875
5076,34,2020-02-13 13:00:00,4870764.073768616,818.390625,13095174.48059845,2399.125,1167575.182357788,151.5068359375,13,Thursday,2,2020,3369.0224609375
5077,34,2020-02-13 14:00:00,4871577.276893616,813.203125,13097676.54309845,2502.0625,1167708.080795288,132.8984375,14,Thursday,2,2020,3448.1640625
5078,34,2020-02-13 15:00:00,4872555.839393616,978.5625,13100171.23059845,2494.6875,1167847.024154663,138.943359375,15,Thursday,2,2020,3612.193359375
5079,34,2020-02-13 16:00:00,4873365.995643616,810.15625,13102940.16809845,2768.9375,1167847.024154663,0.0,16,Thursday,2,2020,3579.09375
5080,34,2020-02-13 17:00:00,4874182.683143616,816.6875,13105548.23059845,2608.0625,1167981.983139038,134.958984375,17,Thursday,2,2020,3559.708984375
