,id_device,date,en_L1,cons_en_L1,en_L2,cons_en_L2,en_L3,cons_en_L3,cons_glbal
81,246,2020-01-12,35262551.55980015,1861835.875,14443942.726124763,870579.75,50366194.77506256,3080398.75,5812814.375
82,246,2021-01-01,37192656.55980015,1927683.0,15339206.226124763,894039.0,53352919.77506256,2980777.5,5802499.5
83,246,2021-01-02,39080308.05980015,1885044.0,16121506.476124763,781154.25,55935544.77506256,2577790.0,5243988.25
84,246,2021-01-03,40676199.05980015,1593164.5,16807018.476124763,684383.5,58178693.77506256,2238476.0,4516024.0
85,253,2019-01-07,4926441.302467346,4926441.302467346,4205064.728782654,4205064.728782654,4077446.169029236,4077446.169029236,13208952.200279236
86,253,2019-01-08,10565697.802467346,5631476.75,9613062.978782654,5401386.25,8093200.169029236,4009677.5,15042540.5
87,253,2019-01-09,15759737.644233704,5186663.841766357,14273442.802116394,4653823.82333374,12422805.258903503,4324552.589874268,14165040.254974365
88,253,2019-01-10,20710292.80548096,4942854.911247253,19241726.84439087,4962162.292274475,16220408.268722534,3790662.509819031,13695679.71334076
89,253,2019-01-11,25195972.897277832,4478827.341796875,24071275.68382263,4822851.839431763,19631796.61650085,3406307.3477783203,12707986.529006958
90,253,2019-01-12,29596233.116378784,4393010.969100952,28916135.40426636,4838255.970443726,22947552.72265625,3311140.3561553955,12542407.295700073
91,253,2020-01-01,33834270.217292786,4233250.413414001,33818810.54659271,4896348.454826355,26254905.45896912,3303007.611312866,12432606.479553223
92,253,2020-01-02,37958465.45524597,4117716.237953186,38415166.443222046,4589435.8966293335,29392051.919799805,3132182.0858306885,11839334.220413208
93,253,2020-01-03,42390846.45524597,4426261.125,43496786.693222046,5074643.25,32870283.107299805,3473500.9375,12974405.3125
94,253,2020-01-04,46842711.10671234,4444969.15146637,48619623.33898163,5115527.145759583,36433296.234046936,3558078.626747132,13118574.923973083
95,253,2020-01-05,51530889.85671234,4682084.5,53957867.08898163,5331024.5,40267001.734046936,3828808.5,13841917.5
